customer_id,Segment,Action,Coupon,Priority,Est_ROI
C000117,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000118,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000119,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000120,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000121,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000122,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000123,Standard,No Action,None,Low,Low
C000124,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000125,Standard,No Action,None,Low,Low
C000126,Champions,Early Access to Flash Sale,None,Medium,Low
C000127,Standard,No Action,None,Low,Low
C000128,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000129,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000130,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000131,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000132,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000133,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000134,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000135,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000136,Standard,No Action,None,Low,Low
C000137,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000138,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000139,Standard,No Action,None,Low,Low
C000140,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000141,Standard,No Action,None,Low,Low
C000142,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000143,Standard,No Action,None,Low,Low
C000144,Standard,No Action,None,Low,Low
C000145,Standard,No Action,None,Low,Low
C000146,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000147,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000148,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000149,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000150,Champions,Early Access to Flash Sale,None,Medium,Low
C000151,Standard,No Action,None,Low,Low
C000152,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000153,Standard,No Action,None,Low,Low
C000154,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000155,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000156,Standard,No Action,None,Low,Low
C000157,Standard,No Action,None,Low,Low
C000158,Standard,No Action,None,Low,Low
C000159,Standard,No Action,None,Low,Low
C000160,Standard,No Action,None,Low,Low
C000161,Standard,No Action,None,Low,Low
C000162,Standard,No Action,None,Low,Low
C000163,Standard,No Action,None,Low,Low
C000164,Champions,Early Access to Flash Sale,None,Medium,Low
C000165,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000166,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000167,Standard,No Action,None,Low,Low
C000168,Champions,Early Access to Flash Sale,None,Medium,Low
C000169,Champions,Early Access to Flash Sale,None,Medium,Low
C000170,Standard,No Action,None,Low,Low
C000171,Standard,No Action,None,Low,Low
C000172,Standard,No Action,None,Low,Low
C000173,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000174,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000175,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000176,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000177,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000178,Standard,No Action,None,Low,Low
C000179,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000180,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000181,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000182,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000183,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000184,Standard,No Action,None,Low,Low
C000185,Standard,No Action,None,Low,Low
C000186,Standard,No Action,None,Low,Low
C000187,Champions,Early Access to Flash Sale,None,Medium,Low
C000188,Standard,No Action,None,Low,Low
C000189,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000190,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000191,Standard,No Action,None,Low,Low
C000192,Champions,Early Access to Flash Sale,None,Medium,Low
C000193,Standard,No Action,None,Low,Low
C000194,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000195,Champions,Early Access to Flash Sale,None,Medium,Low
C000196,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000197,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000198,Champions,Early Access to Flash Sale,None,Medium,Low
C000199,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000200,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000201,Standard,No Action,None,Low,Low
C000202,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000203,Champions,Early Access to Flash Sale,None,Medium,Low
C000204,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000205,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000206,Standard,No Action,None,Low,Low
C000207,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000208,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000209,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000210,Standard,No Action,None,Low,Low
C000211,Standard,No Action,None,Low,Low
C000212,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000213,Standard,No Action,None,Low,Low
C000214,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000215,Standard,No Action,None,Low,Low
C000216,Standard,No Action,None,Low,Low
C000217,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000218,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000219,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000220,Champions,Early Access to Flash Sale,None,Medium,Low
C000221,Standard,No Action,None,Low,Low
C000222,Champions,Early Access to Flash Sale,None,Medium,Low
C000223,Standard,No Action,None,Low,Low
C000224,Champions,Early Access to Flash Sale,None,Medium,Low
C000225,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000226,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000227,Standard,No Action,None,Low,Low
C000228,Standard,No Action,None,Low,Low
C000229,Standard,No Action,None,Low,Low
C000230,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000231,Champions,Early Access to Flash Sale,None,Medium,Low
C000232,Standard,No Action,None,Low,Low
C000233,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000234,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000235,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000236,Standard,No Action,None,Low,Low
C000237,Standard,No Action,None,Low,Low
C000238,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000239,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000240,Champions,Early Access to Flash Sale,None,Medium,Low
C000241,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000242,Champions,Early Access to Flash Sale,None,Medium,Low
C000243,Standard,No Action,None,Low,Low
C000244,Standard,No Action,None,Low,Low
C000245,Standard,No Action,None,Low,Low
C000246,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000247,Champions,Early Access to Flash Sale,None,Medium,Low
C000248,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000249,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000250,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000251,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000252,Standard,No Action,None,Low,Low
C000253,Standard,No Action,None,Low,Low
C000254,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000255,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000256,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000257,Standard,No Action,None,Low,Low
C000258,Standard,No Action,None,Low,Low
C000259,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000260,Standard,No Action,None,Low,Low
C000261,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000262,Standard,No Action,None,Low,Low
C000263,Standard,No Action,None,Low,Low
C000264,Champions,Early Access to Flash Sale,None,Medium,Low
C000265,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000266,Champions,Early Access to Flash Sale,None,Medium,Low
C000267,Champions,Early Access to Flash Sale,None,Medium,Low
C000268,Champions,Early Access to Flash Sale,None,Medium,Low
C000269,Standard,No Action,None,Low,Low
C000270,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000271,Champions,Early Access to Flash Sale,None,Medium,Low
C000272,Standard,No Action,None,Low,Low
C000273,Standard,No Action,None,Low,Low
C000274,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000275,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000276,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000277,Standard,No Action,None,Low,Low
C000278,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000279,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000280,Standard,No Action,None,Low,Low
C000281,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000282,Standard,No Action,None,Low,Low
C000283,Standard,No Action,None,Low,Low
C000284,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000285,Standard,No Action,None,Low,Low
C000286,Standard,No Action,None,Low,Low
C000287,Standard,No Action,None,Low,Low
C000288,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000289,Standard,No Action,None,Low,Low
C000290,Standard,No Action,None,Low,Low
C000291,Standard,No Action,None,Low,Low
C000292,Champions,Early Access to Flash Sale,None,Medium,Low
C000293,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000294,Standard,No Action,None,Low,Low
C000295,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000296,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000297,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000298,Standard,No Action,None,Low,Low
C000299,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000300,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000301,Standard,No Action,None,Low,Low
C000302,Standard,No Action,None,Low,Low
C000303,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000304,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000305,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000306,Standard,No Action,None,Low,Low
C000307,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000308,Standard,No Action,None,Low,Low
C000309,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000310,Standard,No Action,None,Low,Low
C000311,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000312,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000313,Champions,Early Access to Flash Sale,None,Medium,Low
C000314,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000315,Standard,No Action,None,Low,Low
C000316,Champions,Early Access to Flash Sale,None,Medium,Low
C000317,Standard,No Action,None,Low,Low
C000318,Standard,No Action,None,Low,Low
C000319,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000320,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000321,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000322,Standard,No Action,None,Low,Low
C000323,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000324,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000325,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000326,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000327,Standard,No Action,None,Low,Low
C000328,Standard,No Action,None,Low,Low
C000329,Standard,No Action,None,Low,Low
C000330,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000331,Champions,Early Access to Flash Sale,None,Medium,Low
C000332,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000333,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000334,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000335,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000336,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000337,Standard,No Action,None,Low,Low
C000338,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000339,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000340,Standard,No Action,None,Low,Low
C000341,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000342,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000343,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000344,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000345,Standard,No Action,None,Low,Low
C000346,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000347,Standard,No Action,None,Low,Low
C000348,Champions,Early Access to Flash Sale,None,Medium,Low
C000349,Standard,No Action,None,Low,Low
C000350,Standard,No Action,None,Low,Low
C000351,Standard,No Action,None,Low,Low
C000352,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000353,Standard,No Action,None,Low,Low
C000354,Standard,No Action,None,Low,Low
C000355,Standard,No Action,None,Low,Low
C000356,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000357,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000358,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000359,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000360,Standard,No Action,None,Low,Low
C000361,Standard,No Action,None,Low,Low
C000362,Champions,Early Access to Flash Sale,None,Medium,Low
C000363,Standard,No Action,None,Low,Low
C000364,Standard,No Action,None,Low,Low
C000365,Standard,No Action,None,Low,Low
C000366,Champions,Early Access to Flash Sale,None,Medium,Low
C000367,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000368,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000369,Champions,Early Access to Flash Sale,None,Medium,Low
C000370,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000371,Standard,No Action,None,Low,Low
C000372,Champions,Early Access to Flash Sale,None,Medium,Low
C000373,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000374,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000375,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000376,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000377,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000378,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000379,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000380,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000381,Standard,No Action,None,Low,Low
C000382,Champions,Early Access to Flash Sale,None,Medium,Low
C000383,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000384,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000385,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000386,Standard,No Action,None,Low,Low
C000387,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000388,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000389,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000390,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000391,Standard,No Action,None,Low,Low
C000392,Champions,Early Access to Flash Sale,None,Medium,Low
C000393,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000394,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000395,Standard,No Action,None,Low,Low
C000396,Standard,No Action,None,Low,Low
C000397,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000398,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000399,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000400,Standard,No Action,None,Low,Low
C000401,Standard,No Action,None,Low,Low
C000402,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000403,Champions,Early Access to Flash Sale,None,Medium,Low
C000404,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000405,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000406,Standard,No Action,None,Low,Low
C000407,Standard,No Action,None,Low,Low
C000408,Champions,Early Access to Flash Sale,None,Medium,Low
C000409,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000410,Standard,No Action,None,Low,Low
C000411,Standard,No Action,None,Low,Low
C000412,Standard,No Action,None,Low,Low
C000413,Standard,No Action,None,Low,Low
C000414,Standard,No Action,None,Low,Low
C000415,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000416,Standard,No Action,None,Low,Low
C000417,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000418,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000419,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000420,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000421,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000422,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000423,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000424,Standard,No Action,None,Low,Low
C000425,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000426,Standard,No Action,None,Low,Low
C000427,Standard,No Action,None,Low,Low
C000428,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000429,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000430,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000431,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000432,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000433,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000434,Standard,No Action,None,Low,Low
C000435,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000436,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000437,Champions,Early Access to Flash Sale,None,Medium,Low
C000438,Standard,No Action,None,Low,Low
C000439,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000440,Champions,Early Access to Flash Sale,None,Medium,Low
C000441,Standard,No Action,None,Low,Low
C000442,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000443,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000444,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000445,Standard,No Action,None,Low,Low
C000446,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000447,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000448,Standard,No Action,None,Low,Low
C000449,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000450,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000451,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000452,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000453,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000454,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000455,Standard,No Action,None,Low,Low
C000456,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000457,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000458,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000459,Standard,No Action,None,Low,Low
C000460,Champions,Early Access to Flash Sale,None,Medium,Low
C000461,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000462,Standard,No Action,None,Low,Low
C000463,Champions,Early Access to Flash Sale,None,Medium,Low
C000464,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000465,Champions,Early Access to Flash Sale,None,Medium,Low
C000466,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000467,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000468,Standard,No Action,None,Low,Low
C000469,Standard,No Action,None,Low,Low
C000470,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000471,Standard,No Action,None,Low,Low
C000472,Standard,No Action,None,Low,Low
C000473,Standard,No Action,None,Low,Low
C000474,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000475,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000476,Standard,No Action,None,Low,Low
C000477,Standard,No Action,None,Low,Low
C000478,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000479,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000480,Standard,No Action,None,Low,Low
C000481,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000482,Standard,No Action,None,Low,Low
C000483,Champions,Early Access to Flash Sale,None,Medium,Low
C000484,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000485,Standard,No Action,None,Low,Low
C000486,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000487,Standard,No Action,None,Low,Low
C000488,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000489,Standard,No Action,None,Low,Low
