customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C000071,2,11,64110.54,5,5,3,553,Loyal Customers
C000072,192,3,53130.799999999996,1,2,3,123,At Risk
C000073,26,11,168645.61000000002,3,5,5,355,Standard
C000074,17,10,295789.73,4,5,5,455,Loyal Customers
C000075,20,10,197833.37,3,5,5,355,Standard
C000076,279,4,110630.34,1,2,4,124,At Risk
C000077,17,13,226033.1,4,5,5,455,Loyal Customers
C000078,41,9,115230.43000000001,2,5,4,254,Standard
C000079,66,9,72854.98999999999,1,5,3,153,At Risk
C000080,10,8,114087.10999999999,4,4,4,444,Loyal Customers
C000081,12,11,167943.06,4,5,5,455,Loyal Customers
C000082,65,2,9551.060000000001,1,1,1,111,At Risk
C000083,28,13,221316.71000000002,2,5,5,255,Standard
C000084,72,6,45784.61,1,3,2,132,At Risk
C000085,8,9,264854.49,5,5,5,555,Champions
C000086,29,6,143273.35,2,3,5,235,Standard
C000087,4,7,159545.80000000002,5,4,5,545,Loyal Customers
C000088,22,7,165681.93,3,4,5,345,Standard
C000089,37,11,139089.94,2,5,5,255,Standard
C000090,25,18,214997.35,3,5,5,355,Standard
C000091,20,14,169681.34,3,5,5,355,Standard
C000092,254,9,178871.75999999998,1,5,5,155,At Risk
C000093,112,11,146955.68,1,5,5,155,At Risk
C000094,20,13,107185.72,3,5,4,354,Standard
C000095,20,10,120253.18,3,5,5,355,Standard
C000096,23,15,135955.67,3,5,5,355,Standard
C000097,54,5,30170.31,2,3,2,232,Standard
C000098,28,9,88875.98999999999,2,5,4,254,Standard
C000099,3,16,140086.93,5,5,5,555,Champions
C000100,184,13,174928.88,1,5,5,155,At Risk
C000101,160,13,214752.63,1,5,5,155,At Risk
C000102,23,16,202310.79,3,5,5,355,Standard
C000103,12,18,158901.62,4,5,5,455,Loyal Customers
C000104,14,13,212646.32,4,5,5,455,Loyal Customers
C000105,20,12,105071.64,3,5,4,354,Standard
C000106,109,9,142343.71,1,5,5,155,At Risk
C000107,28,13,206322.07,2,5,5,255,Standard
C000108,18,11,130168.11,4,5,5,455,Loyal Customers
C000109,43,8,135002.56,2,4,5,245,Standard
C000110,12,13,233429.16999999998,4,5,5,455,Loyal Customers
C000111,51,13,181651.85,2,5,5,255,Standard
C000112,15,10,114677.09,4,5,4,454,Loyal Customers
C000113,27,8,103436.12999999999,2,4,4,244,Standard
C000114,9,11,203000.47,5,5,5,555,Champions
C000115,43,11,146861.59,2,5,5,255,Standard
C000116,83,11,145474.12,1,5,5,155,At Risk
C000117,18,9,127797.98,4,5,5,455,Loyal Customers
C000118,4,3,79343.0,5,2,4,524,Loyal Customers
C000119,2,8,79891.17,5,4,4,544,Loyal Customers
C000120,207,6,68966.20999999999,1,3,3,133,At Risk
C000121,155,6,94735.03,1,3,4,134,At Risk
C000122,83,8,80417.37,1,4,4,144,At Risk
C000123,20,18,290102.42,3,5,5,355,Standard
C000124,5,8,101772.54999999999,5,4,4,544,Loyal Customers
C000125,20,8,199462.96,3,4,5,345,Standard
C000126,9,10,129313.17,5,5,5,555,Champions
C000127,20,15,133683.81,3,5,5,355,Standard
C000128,98,10,221603.14,1,5,5,155,At Risk
C000129,15,8,191767.55,4,4,5,445,Loyal Customers
C000130,13,13,150569.35,4,5,5,455,Loyal Customers
C000131,59,8,110498.65,1,4,4,144,At Risk
C000132,94,5,106814.71,1,3,4,134,At Risk
C000133,372,11,192995.02,1,5,5,155,At Risk
C000134,18,10,112466.28,4,5,4,454,Loyal Customers
C000135,18,13,172934.22,4,5,5,455,Loyal Customers
C000136,58,6,58887.11,2,3,3,233,Standard
C000137,16,16,237352.46,4,5,5,455,Loyal Customers
C000138,14,15,203260.84,4,5,5,455,Loyal Customers
C000139,34,12,158373.82,2,5,5,255,Standard
C000140,256,8,86924.01,1,4,4,144,At Risk
C000141,41,13,119409.06,2,5,5,255,Standard
C000142,9,6,143051.72999999998,5,3,5,535,Loyal Customers
C000143,20,12,209117.89,3,5,5,355,Standard
C000144,40,12,139631.48,2,5,5,255,Standard
C000145,22,11,87913.47,3,5,4,354,Standard
C000146,131,8,73929.18,1,4,3,143,At Risk
C000147,256,8,229145.2,1,4,5,145,At Risk
C000148,9,10,49438.8,5,5,3,553,Loyal Customers
C000149,140,3,29153.319999999996,1,2,2,122,At Risk
C000150,6,9,121320.37,5,5,5,555,Champions
C000151,21,11,139542.53,3,5,5,355,Standard
C000152,114,11,248955.57,1,5,5,155,At Risk
C000153,25,14,212947.56,3,5,5,355,Standard
C000154,8,8,103038.92,5,4,4,544,Loyal Customers
C000155,12,6,122583.67,4,3,5,435,Loyal Customers
C000156,30,7,72446.95,2,4,3,243,Standard
C000157,19,14,176079.02,3,5,5,355,Standard
C000158,26,15,205840.44,3,5,5,355,Standard
C000159,40,6,69652.56,2,3,3,233,Standard
C000160,58,8,126226.1,2,4,5,245,Standard
C000161,19,8,194419.21,3,4,5,345,Standard
C000162,31,9,81574.91,2,5,4,254,Standard
C000163,20,12,190911.01,3,5,5,355,Standard
C000164,6,9,123268.43000000001,5,5,5,555,Champions
C000165,16,12,147480.66,4,5,5,455,Loyal Customers
C000166,3,9,100096.95,5,5,4,554,Loyal Customers
C000167,19,11,150217.52,3,5,5,355,Standard
C000168,2,13,181792.44,5,5,5,555,Champions
C000169,1,11,275393.04,5,5,5,555,Champions
C000170,20,13,225628.56,3,5,5,355,Standard
C000171,51,6,70681.05,2,3,3,233,Standard
C000172,19,14,308457.45,3,5,5,355,Standard
C000173,3,7,116452.01999999999,5,4,5,545,Loyal Customers
C000174,10,9,83038.06999999999,4,5,4,454,Loyal Customers
C000175,12,12,143272.24,4,5,5,455,Loyal Customers
C000176,210,6,131359.38,1,3,5,135,At Risk
C000177,17,9,66490.94,4,5,3,453,Loyal Customers
C000178,21,9,96557.48999999999,3,5,4,354,Standard
C000179,11,11,89999.73,4,5,4,454,Loyal Customers
C000180,10,5,41968.25,4,3,2,432,Loyal Customers
C000181,83,9,155193.72,1,5,5,155,At Risk
C000182,65,7,64976.93,1,4,3,143,At Risk
C000183,79,9,106604.93,1,5,4,154,At Risk
C000184,25,12,328839.52999999997,3,5,5,355,Standard
C000185,33,8,174478.30000000002,2,4,5,245,Standard
C000186,20,13,190705.97999999998,3,5,5,355,Standard
C000187,4,10,201056.51,5,5,5,555,Champions
C000188,43,3,41616.200000000004,2,2,2,222,Standard
C000189,16,8,116254.12000000001,4,4,5,445,Loyal Customers
C000190,207,9,82393.18,1,5,4,154,At Risk
C000191,45,8,114704.34,2,4,4,244,Standard
C000192,1,12,195102.77,5,5,5,555,Champions
C000193,21,9,159886.28,3,5,5,355,Standard
C000194,18,10,105552.92,4,5,4,454,Loyal Customers
C000195,3,12,232639.65,5,5,5,555,Champions
C000196,176,3,73379.34,1,2,3,123,At Risk
C000197,13,12,151019.77,4,5,5,455,Loyal Customers
C000198,2,13,156645.87,5,5,5,555,Champions
C000199,70,10,148265.27000000002,1,5,5,155,At Risk
C000200,18,8,144213.09,4,4,5,445,Loyal Customers
C000201,51,10,98956.49,2,5,4,254,Standard
C000202,18,12,187302.97,4,5,5,455,Loyal Customers
C000203,3,9,153687.25,5,5,5,555,Champions
C000204,10,14,191458.28,4,5,5,455,Loyal Customers
C000205,99,12,173248.7,1,5,5,155,At Risk
C000206,20,10,144776.05,3,5,5,355,Standard
C000207,116,7,101933.47,1,4,4,144,At Risk
C000208,129,5,26847.73,1,3,2,132,At Risk
C000209,376,5,40847.47,1,3,2,132,At Risk
C000210,49,10,215952.38999999998,2,5,5,255,Standard
C000211,20,11,85294.45999999999,3,5,4,354,Standard
C000212,10,10,70462.29000000001,4,5,3,453,Loyal Customers
C000213,20,7,58198.77,3,4,3,343,Standard
C000214,14,7,84436.38,4,4,4,444,Loyal Customers
C000215,27,13,67818.62,2,5,3,253,Standard
C000216,20,6,67076.56999999999,3,3,3,333,Standard
C000217,116,5,57884.869999999995,1,3,3,133,At Risk
C000218,13,10,151939.91,4,5,5,455,Loyal Customers
C000219,136,15,211059.03,1,5,5,155,At Risk
C000220,8,12,147054.9,5,5,5,555,Champions
C000221,44,12,138809.39,2,5,5,255,Standard
C000222,8,9,126765.45,5,5,5,555,Champions
C000223,29,10,187328.5,2,5,5,255,Standard
C000224,5,15,159504.31,5,5,5,555,Champions
C000225,17,11,192135.13,4,5,5,455,Loyal Customers
C000226,13,8,99336.82,4,4,4,444,Loyal Customers
C000227,55,4,86042.55,2,2,4,224,Standard
C000228,19,12,222241.89,3,5,5,355,Standard
C000229,44,12,124877.63,2,5,5,255,Standard
C000230,181,11,229091.94,1,5,5,155,At Risk
C000231,8,10,151565.24,5,5,5,555,Champions
C000232,20,11,113209.28,3,5,4,354,Standard
C000233,479,3,1498.5600000000002,1,2,1,121,At Risk
C000234,15,9,96368.97,4,5,4,454,Loyal Customers
C000235,116,3,31448.11,1,2,2,122,At Risk
C000236,20,10,115932.45000000001,3,5,5,355,Standard
C000237,25,8,116387.07999999999,3,4,5,345,Standard
C000238,13,9,79954.2,4,5,4,454,Loyal Customers
C000239,230,9,108566.83,1,5,4,154,At Risk
C000240,8,15,153918.19,5,5,5,555,Champions
C000241,7,8,67207.06,5,4,3,543,Loyal Customers
C000242,6,11,185610.71,5,5,5,555,Champions
C000243,44,11,124276.61,2,5,5,255,Standard
C000244,54,12,162933.33000000002,2,5,5,255,Standard
C000245,48,5,36890.079999999994,2,3,2,232,Standard
C000246,116,11,107623.34999999999,1,5,4,154,At Risk
C000247,5,10,145879.17,5,5,5,555,Champions
C000248,80,7,152050.59,1,4,5,145,At Risk
C000249,91,9,97164.29000000001,1,5,4,154,At Risk
C000250,92,6,198335.11,1,3,5,135,At Risk
C000251,121,6,131117.28,1,3,5,135,At Risk
C000252,20,19,314450.99,3,5,5,355,Standard
C000253,35,6,125130.89,2,3,5,235,Standard
C000254,3,2,51514.53999999999,5,1,3,513,Loyal Customers
C000255,3,4,57436.32000000001,5,2,3,523,Loyal Customers
C000256,416,2,32025.800000000003,1,1,2,112,At Risk
C000257,20,9,52342.21,3,5,3,353,Standard
C000258,27,15,236156.12,2,5,5,255,Standard
C000259,199,5,82770.67,1,3,4,134,At Risk
C000260,19,8,119286.78,3,4,5,345,Standard
C000261,71,8,126933.01,1,4,5,145,At Risk
C000262,19,9,174729.61000000002,3,5,5,355,Standard
C000263,26,8,90855.19,3,4,4,344,Standard
C000264,6,13,200065.47,5,5,5,555,Champions
C000265,130,10,163884.08000000002,1,5,5,155,At Risk
C000266,5,9,149913.3,5,5,5,555,Champions
C000267,2,12,214387.31999999998,5,5,5,555,Champions
C000268,8,18,241404.0,5,5,5,555,Champions
C000269,20,12,148239.25,3,5,5,355,Standard
C000270,2,6,25624.78,5,3,2,532,Loyal Customers
C000271,5,10,209487.69,5,5,5,555,Champions
C000272,36,13,234144.74,2,5,5,255,Standard
C000273,51,10,96724.55,2,5,4,254,Standard
C000274,117,6,9906.93,1,3,1,131,At Risk
C000275,272,10,146140.01,1,5,5,155,At Risk
C000276,101,8,61431.189999999995,1,4,3,143,At Risk
C000277,20,6,115822.8,3,3,5,335,Standard
C000278,13,14,202790.4,4,5,5,455,Loyal Customers
C000279,266,7,114961.39,1,4,4,144,At Risk
C000280,19,7,127928.03,3,4,5,345,Standard
C000281,13,10,134321.51,4,5,5,455,Loyal Customers
C000282,19,10,158014.88,3,5,5,355,Standard
C000283,40,12,182753.32,2,5,5,255,Standard
C000284,15,13,167120.8,4,5,5,455,Loyal Customers
C000285,20,11,147735.88,3,5,5,355,Standard
C000286,33,15,207747.95,2,5,5,255,Standard
C000287,27,17,216391.94,2,5,5,255,Standard
C000288,80,10,219934.06,1,5,5,155,At Risk
C000289,34,8,94155.86,2,4,4,244,Standard
C000290,29,16,381915.52,2,5,5,255,Standard
C000291,51,11,135878.02,2,5,5,255,Standard
C000292,6,14,174422.8,5,5,5,555,Champions
C000293,77,8,261854.97,1,4,5,145,At Risk
C000294,22,14,132278.45,3,5,5,355,Standard
C000295,5,9,65446.53,5,5,3,553,Loyal Customers
C000296,91,8,79034.38,1,4,4,144,At Risk
C000297,10,14,180030.16999999998,4,5,5,455,Loyal Customers
C000298,25,8,128813.97,3,4,5,345,Standard
C000299,9,17,96065.66,5,5,4,554,Loyal Customers
C000300,66,12,135732.44,1,5,5,155,At Risk
C000301,35,14,167330.97,2,5,5,255,Standard
C000302,20,14,207410.06,3,5,5,355,Standard
C000303,1,7,119763.11,5,4,5,545,Loyal Customers
C000304,17,17,225695.69,4,5,5,455,Loyal Customers
C000305,18,7,76468.86,4,4,4,444,Loyal Customers
C000306,42,12,284243.07,2,5,5,255,Standard
C000307,143,2,13342.7,1,1,1,111,At Risk
C000308,26,12,118576.73999999999,3,5,5,355,Standard
C000309,1,10,107679.29,5,5,4,554,Loyal Customers
C000310,20,14,151494.02000000002,3,5,5,355,Standard
C000311,2,8,68747.62,5,4,3,543,Loyal Customers
C000312,144,12,185630.07,1,5,5,155,At Risk
C000313,6,11,177640.05000000002,5,5,5,555,Champions
C000314,92,15,178024.52,1,5,5,155,At Risk
C000315,29,9,96300.23,2,5,4,254,Standard
C000316,9,12,234512.38,5,5,5,555,Champions
C000317,56,7,209722.16999999998,2,4,5,245,Standard
C000318,20,12,146211.94,3,5,5,355,Standard
C000319,12,13,196292.19,4,5,5,455,Loyal Customers
C000320,83,9,161602.84,1,5,5,155,At Risk
C000321,164,7,119743.61,1,4,5,145,At Risk
C000322,20,6,68774.69,3,3,3,333,Standard
C000323,65,8,105122.18,1,4,4,144,At Risk
C000324,17,17,180933.3,4,5,5,455,Loyal Customers
C000325,138,13,123884.20999999999,1,5,5,155,At Risk
C000326,18,5,92293.82,4,3,4,434,Loyal Customers
C000327,20,14,307277.89,3,5,5,355,Standard
C000328,49,6,95768.26000000001,2,3,4,234,Standard
C000329,29,10,55769.22,2,5,3,253,Standard
C000330,70,9,111958.0,1,5,4,154,At Risk
C000331,8,18,236088.84,5,5,5,555,Champions
C000332,6,9,74602.48,5,5,3,553,Loyal Customers
C000333,13,9,155171.31,4,5,5,455,Loyal Customers
C000334,15,4,56487.29,4,2,3,423,Loyal Customers
C000335,230,3,18141.43,1,2,1,121,At Risk
C000336,4,8,72550.58,5,4,3,543,Loyal Customers
C000337,34,4,46497.69,2,2,2,222,Standard
C000338,10,11,105681.35,4,5,4,454,Loyal Customers
C000339,307,9,76743.92,1,5,4,154,At Risk
C000340,19,7,61159.92999999999,3,4,3,343,Standard
C000341,463,4,44580.05,1,2,2,122,At Risk
C000342,139,6,65846.26,1,3,3,133,At Risk
C000343,271,5,98608.32,1,3,4,134,At Risk
C000344,192,7,115412.06999999999,1,4,4,144,At Risk
C000345,21,4,108030.17000000001,3,2,4,324,Standard
C000346,16,8,106339.82,4,4,4,444,Loyal Customers
C000347,20,7,84055.47,3,4,4,344,Standard
C000348,9,10,126091.98999999999,5,5,5,555,Champions
C000349,20,5,66486.23,3,3,3,333,Standard
C000350,20,8,91639.36,3,4,4,344,Standard
C000351,21,12,232612.24,3,5,5,355,Standard
C000352,59,14,219271.75,1,5,5,155,At Risk
C000353,50,9,141687.82,2,5,5,255,Standard
C000354,26,8,86693.4,3,4,4,344,Standard
C000355,39,9,132661.66,2,5,5,255,Standard
C000356,1,7,101702.93,5,4,4,544,Loyal Customers
C000357,1,8,102283.66,5,4,4,544,Loyal Customers
C000358,10,16,163580.35,4,5,5,455,Loyal Customers
C000359,4,7,100379.36,5,4,4,544,Loyal Customers
C000360,31,16,235014.2,2,5,5,255,Standard
C000361,44,10,105895.75,2,5,4,254,Standard
C000362,8,16,191481.75,5,5,5,555,Champions
C000363,30,7,83228.1,2,4,4,244,Standard
C000364,22,10,210498.11,3,5,5,355,Standard
C000365,35,10,122339.33,2,5,5,255,Standard
C000366,8,9,160801.66999999998,5,5,5,555,Champions
C000367,60,7,131428.41,1,4,5,145,At Risk
C000368,65,6,152975.27000000002,1,3,5,135,At Risk
C000369,5,11,164283.79,5,5,5,555,Champions
C000370,3,6,76143.26000000001,5,3,4,534,Loyal Customers
C000371,26,12,252294.34,3,5,5,355,Standard
C000372,3,11,147086.53,5,5,5,555,Champions
C000373,16,7,103869.97,4,4,4,444,Loyal Customers
C000374,79,8,205633.56,1,4,5,145,At Risk
C000375,11,14,92007.55,4,5,4,454,Loyal Customers
C000376,17,9,129388.43000000001,4,5,5,455,Loyal Customers
C000377,1179,1,17370.95,1,1,1,111,At Risk
C000378,212,9,73699.73999999999,1,5,3,153,At Risk
C000379,114,8,204662.73,1,4,5,145,At Risk
C000380,4,8,68691.27,5,4,3,543,Loyal Customers
C000381,51,13,337909.5,2,5,5,255,Standard
C000382,7,12,192717.63,5,5,5,555,Champions
C000383,15,8,129500.89,4,4,5,445,Loyal Customers
C000384,9,7,87077.94,5,4,4,544,Loyal Customers
C000385,16,7,42588.299999999996,4,4,2,442,Loyal Customers
C000386,44,11,105351.03,2,5,4,254,Standard
C000387,137,3,37702.399999999994,1,2,2,122,At Risk
C000388,2,7,149596.25,5,4,5,545,Loyal Customers
C000389,97,8,108498.48,1,4,4,144,At Risk
C000390,14,11,191091.32,4,5,5,455,Loyal Customers
C000391,20,8,119979.29000000001,3,4,5,345,Standard
C000392,6,11,156561.03999999998,5,5,5,555,Champions
C000393,139,7,157354.31,1,4,5,145,At Risk
C000394,12,12,139186.21,4,5,5,455,Loyal Customers
C000395,54,15,266669.66,2,5,5,255,Standard
C000396,24,14,169864.21,3,5,5,355,Standard
C000397,246,3,6069.25,1,2,1,121,At Risk
C000398,11,5,102960.01999999999,4,3,4,434,Loyal Customers
C000399,1,5,30205.58,5,3,2,532,Loyal Customers
C000400,22,12,209214.34,3,5,5,355,Standard
C000401,25,4,38341.7,3,2,2,322,Standard
C000402,16,10,174114.77000000002,4,5,5,455,Loyal Customers
C000403,7,11,238475.62,5,5,5,555,Champions
C000404,97,10,207916.58000000002,1,5,5,155,At Risk
C000405,209,15,121206.65,1,5,5,155,At Risk
C000406,33,10,113531.67,2,5,4,254,Standard
C000407,29,8,216029.03,2,4,5,245,Standard
C000408,3,11,186846.27,5,5,5,555,Champions
C000409,10,10,238951.91999999998,4,5,5,455,Loyal Customers
C000410,42,9,203978.75,2,5,5,255,Standard
C000411,38,16,302858.57,2,5,5,255,Standard
C000412,20,8,81448.99,3,4,4,344,Standard
C000413,21,8,139215.01,3,4,5,345,Standard
C000414,22,11,216454.37,3,5,5,355,Standard
C000415,11,7,83863.31,4,4,4,444,Loyal Customers
C000416,20,15,233758.75,3,5,5,355,Standard
C000417,17,9,83454.1,4,5,4,454,Loyal Customers
C000418,17,14,175852.29,4,5,5,455,Loyal Customers
C000419,5,8,194653.44,5,4,5,545,Loyal Customers
C000420,16,12,146229.89,4,5,5,455,Loyal Customers
C000421,110,10,155396.19,1,5,5,155,At Risk
C000422,8,6,134443.68,5,3,5,535,Loyal Customers
C000423,132,12,148576.31,1,5,5,155,At Risk
C000424,20,12,182652.72999999998,3,5,5,355,Standard
C000425,67,8,123439.09,1,4,5,145,At Risk
C000426,20,14,190821.38,3,5,5,355,Standard
C000427,20,10,86449.98999999999,3,5,4,354,Standard
C000428,17,12,329175.26,4,5,5,455,Loyal Customers
C000429,90,7,45276.89,1,4,2,142,At Risk
C000430,6,9,114773.18000000001,5,5,4,554,Loyal Customers
C000431,14,9,115901.98999999999,4,5,5,455,Loyal Customers
C000432,7,8,133240.91,5,4,5,545,Loyal Customers
C000433,64,8,83676.67,1,4,4,144,At Risk
C000434,32,12,196570.66,2,5,5,255,Standard
C000435,12,9,128922.58,4,5,5,455,Loyal Customers
C000436,83,7,66361.4,1,4,3,143,At Risk
C000437,6,12,251073.43,5,5,5,555,Champions
C000438,20,10,69204.72,3,5,3,353,Standard
C000439,12,8,86162.11,4,4,4,444,Loyal Customers
C000440,3,18,250731.05000000002,5,5,5,555,Champions
C000441,45,14,259194.44,2,5,5,255,Standard
C000442,3,4,69465.28,5,2,3,523,Loyal Customers
C000443,11,9,147862.55,4,5,5,455,Loyal Customers
C000444,71,13,161933.44,1,5,5,155,At Risk
C000445,20,9,244046.0,3,5,5,355,Standard
C000446,17,9,141872.71,4,5,5,455,Loyal Customers
C000447,2,8,90887.2,5,4,4,544,Loyal Customers
C000448,25,10,71579.95999999999,3,5,3,353,Standard
C000449,17,13,272075.51,4,5,5,455,Loyal Customers
C000450,113,12,227533.53,1,5,5,155,At Risk
C000451,17,11,234200.53,4,5,5,455,Loyal Customers
C000452,13,4,9466.73,4,2,1,421,Loyal Customers
C000453,18,9,161420.77,4,5,5,455,Loyal Customers
C000454,11,5,41925.78,4,3,2,432,Loyal Customers
C000455,19,9,64089.99,3,5,3,353,Standard
C000456,11,8,60032.84,4,4,3,443,Loyal Customers
C000457,6,12,93423.15,5,5,4,554,Loyal Customers
C000458,11,11,112543.33,4,5,4,454,Loyal Customers
C000459,52,10,242319.49,2,5,5,255,Standard
C000460,7,14,268222.57,5,5,5,555,Champions
C000461,144,8,54474.909999999996,1,4,3,143,At Risk
C000462,53,5,39709.26,2,3,2,232,Standard
C000463,5,12,124034.62000000001,5,5,5,555,Champions
C000464,14,10,99309.04,4,5,4,454,Loyal Customers
C000465,3,9,126337.61,5,5,5,555,Champions
C000466,17,12,180178.28,4,5,5,455,Loyal Customers
C000467,102,10,168929.41999999998,1,5,5,155,At Risk
C000468,24,7,147306.88999999998,3,4,5,345,Standard
C000469,24,6,138915.04,3,3,5,335,Standard
C000470,2,4,64401.05,5,2,3,523,Loyal Customers
C000471,45,10,103863.68,2,5,4,254,Standard
C000472,26,10,150148.11,3,5,5,355,Standard
C000473,20,9,138340.02000000002,3,5,5,355,Standard
C000474,6,7,48996.479999999996,5,4,3,543,Loyal Customers
C000475,335,5,64156.3,1,3,3,133,At Risk
C000476,43,9,111763.57,2,5,4,254,Standard
C000477,23,10,270554.38,3,5,5,355,Standard
C000478,1,10,80602.05,5,5,4,554,Loyal Customers
C000479,12,14,241019.54,4,5,5,455,Loyal Customers
C000480,51,8,80603.19,2,4,4,244,Standard
C000481,10,11,186230.87,4,5,5,455,Loyal Customers
C000482,26,10,135899.12,3,5,5,355,Standard
C000483,7,9,243833.66999999998,5,5,5,555,Champions
C000484,11,8,119400.75,4,4,5,445,Loyal Customers
C000485,20,11,228681.84,3,5,5,355,Standard
C000486,2,6,44130.25,5,3,2,532,Loyal Customers
C000487,56,8,175899.59,2,4,5,245,Standard
C000488,73,6,91527.25,1,3,4,134,At Risk
C000489,26,11,88825.31,3,5,4,354,Standard
C000490,26,12,157970.39,3,5,5,355,Standard
C000491,24,8,146888.47,3,4,5,345,Standard
C000492,8,12,133197.47,5,5,5,555,Champions
C000493,37,5,92552.38,2,3,4,234,Standard
C000494,169,6,92360.52,1,3,4,134,At Risk
C000495,13,13,135835.53,4,5,5,455,Loyal Customers
C000496,107,8,137301.94,1,4,5,145,At Risk
C000497,209,8,130348.14,1,4,5,145,At Risk
C000498,83,10,123139.23,1,5,5,155,At Risk
C000499,49,4,53185.01,2,2,3,223,Standard
C000500,25,12,205429.31,3,5,5,355,Standard
C000501,104,6,38815.29,1,3,2,132,At Risk
C000502,13,13,163459.09,4,5,5,455,Loyal Customers
C000503,99,6,83084.56,1,3,4,134,At Risk
C000504,288,3,69444.59,1,2,3,123,At Risk
C000505,53,6,44055.840000000004,2,3,2,232,Standard
C000506,7,9,139331.03,5,5,5,555,Champions
C000507,27,9,91055.16,2,5,4,254,Standard
C000508,192,3,101334.34,1,2,4,124,At Risk
C000509,20,11,99155.84,3,5,4,354,Standard
C000510,6,10,124611.91,5,5,5,555,Champions
C000511,19,15,120521.69,3,5,5,355,Standard
C000512,226,5,33658.04,1,3,2,132,At Risk
C000513,135,11,243904.68,1,5,5,155,At Risk
C000514,8,10,178699.81,5,5,5,555,Champions
C000515,23,14,152964.95,3,5,5,355,Standard
C000516,85,9,167483.0,1,5,5,155,At Risk
C000517,13,9,86081.73,4,5,4,454,Loyal Customers
